attr1,attr2,output
-1.000000,-1.000000,-0.987947
-0.900000,-0.900000,-0.851032
-0.800000,-0.800000,-0.668806
-0.700000,-0.700000,-0.626665
-0.600000,-0.600000,-0.428572
-0.500000,-0.500000,-0.434445
-0.400000,-0.400000,-0.254075
-0.300000,-0.300000,-0.409941
-0.200000,-0.200000,-0.194613
-0.100000,-0.100000,-0.228453
-0.000000,-0.000000,0.024723
0.100000,0.100000,0.140446
0.200000,0.200000,0.127811
0.300000,0.300000,0.074810
0.400000,0.400000,0.327758
0.500000,0.500000,0.604265
0.600000,0.600000,0.559029
0.700000,0.700000,0.651907
0.800000,0.800000,0.707078
0.900000,0.900000,0.941101
